auberge	NOM	64.9
épée	NOM	44.0
veste	NOM	42.6
exclamer	VER	34.2
bac	NOM	25.7
tranquillement	ADV	23.6
fan	NOM	22.2
bêtise	NOM	21.2
animation	NOM	20.5
opéra	NOM	19.4
jaloux	ADJ	19.1
lapin	NOM	18.1
sculpture	NOM	17.6
fatigué	ADJ	16.8
baguette	NOM	16.2
bouquet	NOM	16.1
fac	NOM	15.9
exotique	ADJ	15.2
neveu	NOM	15.1
écharpe	NOM	14.3
douche	NOM	14.0
randonnée	NOM	13.7
francophonie	NOM	13.4
héler	VER	13.4
brave	ADJ	13.0
hygiène	NOM	12.5
soulier	NOM	12.0
addition	NOM	11.6
botte	NOM	11.4
salutation	NOM	11.3
souriant	ADJ	11.0
renaissance	NOM	10.7
panorama	NOM	10.7
colorer	VER	10.3
affoler	VER	10.2
culinaire	ADJ	9.9
bavarder	VER	9.8
bistrot	NOM	9.4
inoubliable	ADJ	9.4
basket	NOM	9.0
éclairage	NOM	9.0
canne	NOM	8.3
guitare	NOM	8.2
recomposer	VER	8.1
artifice	NOM	8.1
vexer	VER	8.0
cultivé	ADJ	8.0
centre-ville	NOM	7.5
pré	NOM	7.5
crèche	NOM	7.4
dévorer	VER	7.4
illuminer	VER	7.4
yaourt	NOM	7.3
perle	NOM	7.3
polluant	ADJ	7.2
feuilleton	NOM	7.1
resto	NOM	7.0
cuisinier	NOM	6.9
boulangerie	NOM	6.9
médiéval	ADJ	6.8
dessinateur	NOM	6.7
tarte	NOM	6.6
dentiste	NOM	6.6
chic	ADJ	6.4
fontaine	NOM	6.4
luire	VER	6.4
grillé	ADJ	6.2
ennuyeux	ADJ	6.0
coiffer	VER	6.0
bisou	NOM	5.9
créole	NOM	5.5
charcuterie	NOM	5.4
chèvre	NOM	5.4
admirable	ADJ	5.3
poupée	NOM	5.3
parapluie	NOM	5.2
piéton	ADJ	5.1
fatigant	ADJ	5.1
brésilien	ADJ	5.1
vestige	NOM	5.0
console	NOM	5.0
mignon	ADJ	4.9
dinde	NOM	4.8
beau-frère	NOM	4.7
grenouille	NOM	4.6
terrifiant	ADJ	4.5
ciné	NOM	4.4
tapisserie	NOM	4.4
rosier	NOM	4.2
australien	ADJ	4.2
petite-fille	NOM	4.1
déguster	VER	4.1
gramme	NOM	4.1
saucisson	NOM	3.9
maquette	NOM	3.9
pourboire	NOM	3.8
métropole	NOM	3.8
cire	NOM	3.8
escargot	NOM	3.8
jazz	NOM	3.7
natation	NOM	3.7
écurie	NOM	3.6
présentateur	NOM	3.6
saumon	NOM	3.5
ajoute	NOM	3.5
banane	NOM	3.5
épicer	VER	3.4
beaux-arts	NOM	3.4
collectionneur	NOM	3.2
marron	ADJ	3.1
bowling	NOM	3.1
belle-mère	NOM	3.0
caissier	NOM	2.9
pharmacie	NOM	2.8
olive	NOM	2.7
marre	ADV	2.7
margot	NOM	2.6
abricot	NOM	2.6
muser	VER	2.6
hors-d'oeuvre	NOM	2.5
photocopie	NOM	2.5
fumé	ADJ	2.4
férié	ADJ	2.4
répondeur	NOM	2.4
décontracter	VER	2.4
hypermarché	NOM	2.3
monumental	ADJ	2.3
spaghetti	NOM	2.3
mural	ADJ	2.2
pétanque	NOM	2.1
sirop	NOM	2.1
rhum	NOM	2.0
ré	NOM	1.9
marrant	ADJ	1.8
pâtisserie	NOM	1.7
mistral	NOM	1.7
mi	NOM	1.7
cidre	NOM	1.6
ensoleiller	VER	1.5
outre-mer	ADV	1.5
minéral	ADJ	1.5
éplucher	VER	1.4
oignon	NOM	1.4
archéologue	NOM	1.4
numéroter	VER	1.3
laitier	ADJ	1.3
collectionner	VER	1.3
menthe	NOM	1.3
couscous	NOM	1.2
restau	NOM	1.1
épice	NOM	1.1
châtain	ADJ	1.0
sardine	NOM	0.9
apprenti	NOM	0.9
skier	VER	0.9
pamplemousse	NOM	0.6
rabat	NOM	0.6
épeler	VER	0.6
concombre	NOM	0.6
zoo	NOM	0.6
pat	ADJ	0.2
